mzmed,rtmed,g3
861.3490082,10.00515,41.40220776
860.8475232,10.01076667,52.47196374
705.3198921,10.05883333,37.55145848
537.2648756,10.06896667,10.15292585
567.2770821,10.06934167,46.90071486
718.1544326,10.077125,57.91037755
717.1515956,10.089375,184.5552368
535.2513786,10.09508333,16.03957649
764.3576827,10.107925,28.37961142
678.2032071,10.115,299.5038462
961.4529933,10.11545,7.885751016
679.2064075,10.11693333,108.6630876
960.4529378,10.12288333,18.84770455
174.0207476,10.15356667,39.65963631
218.0104983,10.1537,100.7668848
322.0795492,10.1582,93.69589784
595.2908387,10.1595,41.80978826
594.2880267,10.16034167,138.2509371
234.0416079,10.18625,93.057141
889.4054093,10.215625,35.5547117
739.2872291,10.21651667,38.15988501
615.2619452,10.22691667,36.40714092
739.7886026,10.22791667,26.63265547
881.2829874,10.239675,189.0657067
410.1421122,10.24306667,41.24827508
882.2848526,10.24345,85.58720369
502.2657861,10.247,37.49865945
455.0877362,10.27556667,34.41278447
732.2966656,10.28129167,26.49565642
426.1079963,10.28158333,102.9355006
495.137681,10.30303333,47.70562103
494.1340552,10.30303333,136.4548018
496.1365162,10.30995,19.05062054
444.1293209,10.34368333,53.19437238
625.6910557,10.34555,30.29040534
625.1898483,10.3585,67.82277916
745.2818534,10.36119167,16.8740128
952.4489663,10.3632,14.73604588
758.2357009,10.36354167,48.82586196
521.1336441,10.37731667,30.48592805
711.3564047,10.41481667,55.91625208
655.1480161,10.41879167,51.89252557
633.1661315,10.42030833,795.9893836
634.1690472,10.42030833,214.4175452
635.1651564,10.4213,140.6809902
261.0083418,10.4534,51.09524554
488.1550765,10.4547,150.8912003
937.4570651,10.46171667,17.28687515
936.452824,10.46348333,36.79541933
402.0971405,10.48765,70.07669889
273.0635811,10.53221667,14.93633807
727.3255308,10.54493333,10.12289483
784.347098,10.54493333,133.2937738
785.3498013,10.54888333,54.9940286
802.2749352,10.55380833,24.92868032
808.7585961,10.55775833,25.14199011
437.1305626,10.55808333,51.62881415
391.1257974,10.55808333,39.80922566
808.2571124,10.5601,61.22556913
807.7556445,10.5601,81.02309821
799.2620855,10.56638333,187.5741376
800.2649543,10.57213333,73.39686037
801.2675639,10.57951667,25.9999657
625.3010289,10.57996667,37.99082186
624.2986239,10.58559167,103.7557284
637.2459661,10.58673333,35.9270843
708.1861437,10.58874167,18.05546676
736.3623827,10.59303333,63.63417291
463.1823054,10.59303333,55.75305075
737.3655527,10.593725,26.30334027
385.2563561,10.61985,66.692784
732.2863695,10.62036667,34.04610065
418.1171972,10.623,43.37686438
479.0812551,10.64665,88.58194765
434.0806621,10.65533333,160.6288601
433.0773601,10.66501667,650.9120025
515.1775483,10.67835833,58.80680616
342.0875626,10.67885833,38.57067303
425.2395364,10.68301667,179.9494125
443.1453234,10.68325833,67.11108058
444.1484361,10.68380833,19.67323642
467.0827845,10.6871,170.1579031
502.1708645,10.70838333,191.2665513
503.1738257,10.72105,64.58557748
589.1651356,10.745825,26.57296433
588.1623245,10.745825,101.7619277
906.3915509,10.75669167,17.52515432
216.9822497,10.75946667,42.60656435
905.3880162,10.759975,41.1876468
274.0398175,10.76048333,32.78289242
599.3187026,10.78505,91.24072238
679.3405354,10.8101,19.29362328
764.187119,10.81559167,12.54173727
235.9271122,10.82376667,445.7633643
742.2396504,10.84255,27.54566107
246.992753,10.84703333,53.30912
331.060562,10.87298333,37.88759248
396.1160342,10.87351667,76.03476735
441.1876332,10.8792,102.2598391
442.1902703,10.882075,27.40950309
468.1264496,10.88741667,81.24919938
878.4182991,10.89151667,6.773894732
877.9166374,10.89151667,6.191957067
861.4109377,10.89606667,76.77038725
862.41334,10.90116667,34.29886646
444.1295052,10.90344167,310.4605306
445.1328805,10.90344167,93.73402792
478.2292578,10.91085833,69.60075271
466.1113495,10.9109,33.92301538
956.5162373,10.929425,18.69322299
719.3352525,10.93374167,42.02620175
306.0844563,10.94188333,81.5312432
612.3711591,10.942125,52.49393791
587.1069478,10.94236667,108.596642
313.0613059,10.94239167,79.4187805
620.1716336,10.94881667,49.84260187
516.1863647,10.95268333,130.9898009
517.1897803,10.96285833,42.89933776
656.2890031,10.97351667,50.51559889
619.1808382,10.97378333,28.93525737
618.1771903,10.97426667,77.49846413
694.1974595,10.97453333,65.39859485
695.201115,10.97609167,25.26287775
657.1998353,10.98281667,33.01244908
360.166098,10.98588333,31.41227884
405.1699749,10.98588333,105.7686313
488.0623524,11.00415,77.39771844
451.217439,11.00415,82.9827811
487.0592923,11.00465,324.7648892
678.2664388,11.00631667,22.75559238
489.057395,11.00631667,44.67649882
377.1223472,11.00956667,20.15311218
406.1705257,11.00956667,34.08821157
677.2621938,11.01096667,59.37399221
392.0095593,11.01235833,35.3914748
387.0172936,11.01588333,17.00394969
551.1977224,11.02611667,65.04450699
326.0200283,11.03635,113.4565704
325.0259448,11.03639167,154.6122762
452.1760573,11.03643333,17.670093
649.052574,11.036975,24.10462261
561.1587447,11.036975,12.39100572
324.0236064,11.036975,994.5927309
776.2344252,11.03751667,33.26043733
451.1732791,11.03845,72.28702863
376.1871798,11.04120833,182.5360968
602.3004964,11.04513333,24.13006919
351.1574721,11.05439167,27.77278985
561.3108186,11.05490833,26.00253589
438.1629559,11.06790833,50.43472138
504.187576,11.06790833,27.14288497
437.1593028,11.068125,128.2931563
295.1304504,11.06956667,95.49640157
384.1295396,11.07045833,47.24343076
738.1562331,11.07195,61.09758075
486.1730255,11.08399167,63.20849023
560.3076597,11.09603333,90.0970395
514.3023914,11.09614167,56.71314971
737.1589021,11.09655,104.7678788
707.263553,11.09714167,31.11423496
496.0970711,11.09756667,48.44154091
644.6523011,11.09803333,39.1270251
736.1562546,11.09803333,297.0543347
927.4396586,11.09831667,46.1111804
567.1565976,11.09831667,20.69620065
449.0986536,11.11100833,40.39566961
887.2273296,11.11100833,34.77322508
636.166374,11.11110833,44.92861828
842.2330817,11.11125,31.0516056
628.683421,11.1124,34.58444012
617.6944723,11.12335,81.39222849
862.2155532,11.12398333,40.77010985
926.4334603,11.12398333,48.81382532
788.3207618,11.12398333,79.17961725
513.0510569,11.12398333,25.3986532
850.2169951,11.12408333,96.63360406
144.0319833,11.12408333,50.02139462
867.2254054,11.12418333,61.77037297
501.0980111,11.12418333,61.53495154
823.2608397,11.12418333,6334.579403
907.2108555,11.12418333,51.54410554
827.2704938,11.12418333,33.604645
510.0925672,11.12455,100.8044069
879.1834627,11.12465833,29.44147917
617.1920636,11.12465833,148.7029595
824.2635269,11.12465833,2527.51286
411.1269023,11.12465833,16084.83434
413.1312577,11.12465833,507.0947619
409.8275742,11.12465833,115.3273694
628.1833993,11.12465833,67.8006125
878.1792663,11.12465833,55.39248133
846.2442423,11.12465833,181.3645377
704.2549096,11.125125,37.47602582
569.1697207,11.125125,70.1381592
834.2501092,11.125125,91.74748295
876.1718602,11.12513333,165.1558799
643.6476993,11.12513333,131.8386041
820.6370206,11.12513333,12.70483246
475.0970768,11.12513333,89.67932117
861.213472,11.12513333,73.85071295
659.1275932,11.12513333,27.81262203
246.9928904,11.12513333,52.85419101
921.2292218,11.12513333,58.12740088
847.2423093,11.12513333,44.23696375
414.1354842,11.12514167,140.2354918
510.0430001,11.12515,397.8362109
511.0487791,11.12515,210.9183575
455.0901072,11.12515,78.19746984
825.2652327,11.12515,685.2890837
474.1216529,11.12515,171.5648416
877.178139,11.12515,167.5366221
826.2681662,11.12515,158.0788564
412.1297576,11.12515,3072.188913
845.2416248,11.12515,395.5587166
479.1134056,11.12515,520.6282712
509.0933363,11.12515,485.656432
842.7364702,11.12516667,25.65032267
701.2176436,11.12525833,61.93492393
495.0837893,11.12526667,102.5876008
560.0246778,11.12528333,80.60889112
437.5822055,11.1254,22.04721758
697.1234315,11.1254,23.26551301
447.1023428,11.1254,57.29708925
484.0454037,11.12559167,33.40639939
656.0642558,11.12560833,28.35218978
823.7604704,11.12560833,71.62159333
554.0338273,11.12560833,45.37548039
541.0832905,11.125725,120.3113428
766.2113663,11.12595,14.73729543
551.0781004,11.12605,35.39040264
552.056338,11.12605,39.37923469
512.0516016,11.12605,46.92896655
578.0307736,11.12624167,36.45844397
480.1156157,11.12643333,115.2405314
433.1081642,11.12643333,82.55560922
465.0448659,11.1266,59.20446244
562.0060609,11.12808333,48.85270028
702.2226334,11.13904167,48.49317841
542.0865049,11.15206667,26.5441559
759.3297222,11.15206667,27.47885747
696.1210085,11.152125,57.89047954
775.23317,11.15240833,113.837677
774.230694,11.153625,338.3482551
615.3202666,11.17840833,20.49344067
641.2971517,11.1792,25.48958833
614.3150381,11.17943333,76.87983753
724.3255309,11.17956667,55.86223198
640.2933198,11.1797,98.58066676
283.987661,11.18034167,300.575442
284.9907536,11.18071667,35.27385061
427.2318562,11.18243333,48.39443144
625.1498083,11.19320833,75.63994624
645.132735,11.19579167,41.69268918
508.152672,11.20675,109.8996424
644.1343112,11.20675,56.34594514
643.1306526,11.20679167,210.7759371
382.0781909,11.20791667,39.16238222
665.1136857,11.23415,38.14272604
312.1930825,11.234325,455.2373672
313.1960722,11.23618333,85.68055993
507.1494666,11.236225,290.0736314
