mzmed,rtmed,neg_c1
861.3490082,10.00515,55.1514182
860.8475232,10.01076667,65.51903581
705.3198921,10.05883333,81.12376608
537.2648756,10.06896667,27.75011127
567.2770821,10.06934167,151.4383839
718.1544326,10.077125,68.09626452
717.1515956,10.089375,197.6467904
535.2513786,10.09508333,43.93792766
764.3576827,10.107925,40.06879817
678.2032071,10.115,547.8949598
961.4529933,10.11545,34.08580896
679.2064075,10.11693333,196.6094931
960.4529378,10.12288333,73.77655958
174.0207476,10.15356667,47.60164342
218.0104983,10.1537,102.9869234
322.0795492,10.1582,127.1985112
595.2908387,10.1595,144.9412222
594.2880267,10.16034167,411.580534
234.0416079,10.18625,76.56277442
889.4054093,10.215625,124.5584835
739.2872291,10.21651667,112.3005199
615.2619452,10.22691667,55.95907873
739.7886026,10.22791667,74.83671445
881.2829874,10.239675,313.7890673
410.1421122,10.24306667,60.56577166
882.2848526,10.24345,148.1736673
502.2657861,10.247,58.98972994
455.0877362,10.27556667,50.28607023
732.2966656,10.28129167,30.79721896
426.1079963,10.28158333,60.77553529
495.137681,10.30303333,106.3257297
494.1340552,10.30303333,299.4656604
496.1365162,10.30995,42.17927176
444.1293209,10.34368333,153.7172566
625.6910557,10.34555,28.32354984
625.1898483,10.3585,61.23512691
745.2818534,10.36119167,59.23097422
952.4489663,10.3632,56.13643137
758.2357009,10.36354167,175.3707382
521.1336441,10.37731667,129.5088473
711.3564047,10.41481667,69.45720679
655.1480161,10.41879167,54.59575682
633.1661315,10.42030833,554.0364245
634.1690472,10.42030833,167.8323401
635.1651564,10.4213,93.8463807
261.0083418,10.4534,77.59297265
488.1550765,10.4547,204.1990151
937.4570651,10.46171667,47.69304659
936.452824,10.46348333,104.8613726
402.0971405,10.48765,64.30762112
273.0635811,10.53221667,101.2705603
727.3255308,10.54493333,48.10611883
784.347098,10.54493333,267.7799318
785.3498013,10.54888333,108.863871
802.2749352,10.55380833,32.72036053
808.7585961,10.55775833,27.15600219
437.1305626,10.55808333,65.3412075
391.1257974,10.55808333,67.65877847
808.2571124,10.5601,70.67689175
807.7556445,10.5601,84.16705263
799.2620855,10.56638333,499.9673261
800.2649543,10.57213333,195.0885298
801.2675639,10.57951667,64.72678414
625.3010289,10.57996667,127.3767602
624.2986239,10.58559167,342.3078381
637.2459661,10.58673333,40.40203255
708.1861437,10.58874167,26.86096075
736.3623827,10.59303333,154.5712318
463.1823054,10.59303333,157.4979823
737.3655527,10.593725,60.03144725
385.2563561,10.61985,82.57834039
732.2863695,10.62036667,72.59358349
418.1171972,10.623,53.85077112
479.0812551,10.64665,26.2264314
434.0806621,10.65533333,16.17193181
433.0773601,10.66501667,17.68110126
515.1775483,10.67835833,87.46320927
342.0875626,10.67885833,53.89592738
425.2395364,10.68301667,244.5256371
443.1453234,10.68325833,314.2929152
444.1484361,10.68380833,85.85549274
467.0827845,10.6871,53.94611449
502.1708645,10.70838333,584.515942
503.1738257,10.72105,198.0735614
589.1651356,10.745825,59.24331251
588.1623245,10.745825,197.110633
906.3915509,10.75669167,32.30299425
216.9822497,10.75946667,126.6754262
905.3880162,10.759975,65.11903669
274.0398175,10.76048333,67.53300953
599.3187026,10.78505,136.7885157
679.3405354,10.8101,74.00499636
764.187119,10.81559167,37.69884827
235.9271122,10.82376667,475.7851462
742.2396504,10.84255,83.63914112
246.992753,10.84703333,120.7024323
331.060562,10.87298333,56.04810403
396.1160342,10.87351667,101.7094925
441.1876332,10.8792,239.0281522
442.1902703,10.882075,64.21384741
468.1264496,10.88741667,116.1804418
878.4182991,10.89151667,2.971632438
877.9166374,10.89151667,2.878536212
861.4109377,10.89606667,221.4089912
862.41334,10.90116667,99.02418343
444.1295052,10.90344167,722.8790168
